Entity;Year;Share of students studying abroad; all regions; both sexes (%)
Australia;2010;0.8;;
Australia;2011;0.8;;
Australia;2012;0.8;;
Australia;2013;0.8;;
Brazil;2010;0.4;;
Brazil;2011;0.4;;
Brazil;2012;0.4;;
Brazil;2013;0.4;;
China;2010;1.8;;
China;2011;2;;
China;2012;2.1;;
China;2013;2;;
Japan;2010;1;;
Japan;2011;0.9;;
Japan;2012;0.8;;
Russia;2010;0.5;;
Russia;2011;0.5;;
Russia;2012;0.6;;
Russia;2013;0.6;;
United Kingdom;2010;0.9;;
United Kingdom;2011;1.1;;
United Kingdom;2012;1;;
United Kingdom;2013;1.1;;
United States;2010;0.2;;
United States;2011;0.2;;
United States;2012;0.2;;
United States;2013;0.3;;
Uzbekistan;2010;8.3;;
Uzbekistan;2011;8.4;;
Uzbekistan;2012;8.2;;
Uzbekistan;2013;9;;
